Player,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,Team
SaurynSLaoLaoP,0,0,0.00,1,0,0,0,0,0,1.0,2,0,0,0.0,0.0,0,3,2.00,0.4,SEA
EastonELucasLucasP,1,0,9.82,14,0,0,0,0,0,18.1,27,21,20,2.0,1.0,13,17,2.18,.333,TOR
NickNMartinezMartinezP,37,45,4.09,240,103,1,0,9,16,774.1,777,388,352,108.0,35.0,247,554,1.32,.260,CIN
QuinnQMathewsMathewsP,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0.0,0.0,1,3,1.50,0.25,STL
JuanJMejiaMejiaP,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0.0,0.0,1,3,0.50,0.0,COL
CaseyCMizeMizeP,9,19,4.36,61,59,1,0,0,0,291.0,293,152,141,43.0,18.0,85,226,1.30,.259,DET
EliEMorganMorganP,18,12,3.97,161,19,0,0,1,7,265.1,239,131,117,43.0,8.0,70,262,1.16,.236,CHC
PatrickPMurphyMurphyP,0,3,4.76,35,0,0,0,0,0,39.2,45,25,21,3.0,4.0,20,38,1.64,.278,TEX
JackJNeelyNeelyP,0,0,9.00,6,0,0,0,0,0,6.0,8,6,6,2.0,0.0,2,7,1.67,.308,CHC
SeanSNewcombNewcombP,28,25,4.51,175,60,0,0,2,5,431.0,396,227,216,52.0,18.0,236,438,1.47,.243,BOS
RileyROBrienOBrienP,0,1,10.45,10,1,0,0,0,1,10.1,16,12,12,4.0,1.0,12,14,2.71,.348,STL
DouglasDOrellanaOrellanaP,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,1.0,0.0,0,3,1.00,0.25,NYM
EricEOrzeOrzeP,0,1,21.60,2,0,0,0,0,0,1.2,3,4,4,1.0,1.0,2,1,3.00,.375,TB
MichelMOtaezOtaezP,1,0,3.44,36,0,0,0,1,3,34.0,27,15,13,2.0,3.0,20,55,1.38,.214,ATH
BenBPeoplesPeoplesP,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0.0,0.0,2,3,3.00,0.25,TB
TylerTPhillipsPhillipsP,4,1,6.87,8,7,1,1,0,0,36.2,45,28,28,9.0,2.0,7,28,1.42,.300,PHI
RobbieRRayRayP,77,73,3.98,233,229,1,1,0,0,1258.2,1102,593,557,194.0,47.0,535,1548,1.30,.234,SF
ColinCReaReaP,26,20,4.57,94,76,0,0,1,1,446.2,432,241,227,71.0,23.0,138,366,1.28,.251,CHC
DanielDRobertRobertP,1,0,3.18,4,0,0,0,0,0,5.2,6,2,2,1.0,2.0,2,6,1.41,.273,TEX
TekoahTRobyRobyP,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,1.0,0,3,0.00,0.0,STL
BradgleyBRodriguezRodriguezP,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0.0,0.0,0,3,0.00,0.0,SD
JoseJRodriguezRodriguezP,0,1,9.00,12,0,0,0,0,0,8.0,14,10,8,0.0,1.0,9,3,2.88,.368,LAD
JoJoJRomeroRomeroP,11,5,4.24,132,0,0,0,4,15,131.2,119,67,62,17.0,9.0,42,128,1.22,.242,STL
LandenLRouppRouppP,1,2,3.58,23,4,0,0,0,0,50.1,43,21,20,2.0,1.0,26,47,1.37,.226,SF
JPJSearsSearsP,22,30,4.36,81,75,0,0,0,0,423.0,404,214,205,70.0,32.0,125,349,1.25,.251,ATH
CristopherCSnchezSnchezP,17,16,3.70,72,53,2,1,1,1,333.2,324,153,137,33.0,7.0,84,297,1.22,.252,PHI
KaiWeiKTengTengP,0,0,9.82,4,0,0,0,0,0,11.0,15,12,12,2.0,1.0,8,7,2.09,.326,SF
EdwinEUcetaUcetaP,2,3,3.62,55,1,0,0,5,6,82.0,59,38,33,7.0,3.0,29,98,1.07,.199,TB
LouisLVarlandVarlandP,5,11,5.51,38,22,0,0,0,0,143.2,160,90,88,32.0,6.0,39,141,1.39,.278,MIN
WillWWarrenWarrenP,0,3,10.32,6,5,0,0,0,0,22.2,33,27,26,5.0,1.0,10,29,1.90,.340,NYY
JordanJWeemsWeemsP,6,4,5.26,140,0,0,0,0,6,155.2,138,99,91,26.0,6.0,77,161,1.38,.234,ATL
HaydenHWesneskiWesneskiP,9,13,3.93,68,22,0,0,0,2,190.0,162,96,83,35.0,8.0,60,183,1.17,.225,HOU
TylerTWoessnerWoessnerP,0,0,13.50,2,0,0,0,0,0,1.1,2,2,2,0.0,1.0,2,3,3.00,0.333,MIL
SimeonSWoodsRichardsonWoodsRichardsonP,5,6,4.33,30,29,0,0,0,0,143.1,135,71,69,18.0,3.0,53,125,1.31,.247,MIN
JefryJYanYanP,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0.0,0.0,2,3,1.50,0.167,COL
StevenSZobacZobacP,0,0,4.50,1,0,0,0,0,0,2.0,2,1,1,0.0,0.0,1,3,1.50,0.25,KC
GarrettGActonActonP,0,0,12.71,6,0,0,0,0,0,5.2,9,8,8,3.0,1.0,5,5,2.47,.346,TB
JoseJAcunaAcunaP,0,1,9.00,1,0,0,0,0,0,2.0,3,2,2,1.0,0.0,1,2,2.00,0.429,CIN
MasonMAdamsAdamsP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,2,0.00,0.0,CWS
RobbyRAhlstromAhlstromP,0,0,0.00,2,0,0,0,0,0,2.0,2,0,0,0.0,0.0,0,2,1.00,0.25,TEX
JasonJAlexanderAlexanderP,2,3,5.40,18,11,0,0,0,0,71.2,88,47,43,12.0,4.0,28,46,1.62,.312,ATH
SpencerSArrighettiArrighettiP,7,13,4.53,29,28,0,0,0,0,145.0,139,80,73,21.0,7.0,65,171,1.41,.250,HOU
LuinderLAvilaAvilaP,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,0.0,1,2,0.50,0.0,KC
JordanJBalazovicBalazovicP,1,0,4.44,18,0,0,0,0,0,24.1,26,13,12,5.0,0.0,12,17,1.56,.274,DET
AndrewABashBashP,0,0,6.75,1,0,0,0,0,0,1.1,1,1,1,1.0,0.0,0,2,0.75,0.2,TOR
BradyBBassoBassoP,1,1,4.03,7,4,0,0,0,0,22.1,23,10,10,3.0,0.0,5,19,1.25,.264,ATH
ValenteVBellozoBellozoP,3,4,3.67,13,13,0,0,0,0,68.2,69,31,28,15.0,2.0,21,44,1.31,.256,MIA
AnthonyABenderBenderP,9,7,3.37,141,1,0,0,10,18,133.2,112,54,50,11.0,11.0,46,147,1.18,.229,MIA
SamSBenschoterBenschoterP,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,0.0,1.0,0,2,1.00,0.333,CIN
MasonMBlackBlackP,1,5,6.44,9,8,0,0,0,0,36.1,46,26,26,7.0,3.0,15,31,1.68,.309,SF
BradleyBBlalockBlalockP,1,3,5.87,7,6,0,0,0,0,30.2,35,22,20,4.0,1.0,20,20,1.79,.278,COL
JonathanJBowlanBowlanP,0,2,7.94,3,2,0,0,0,0,5.2,11,5,5,4.0,0.0,3,6,2.47,.393,KC
MatthewMBoydBoydP,46,69,4.85,182,168,2,1,0,0,908.1,899,520,489,157.0,44.0,294,891,1.31,.256,CHC
SeanSBoyleBoyleP,0,0,0.00,1,1,0,0,0,0,3.0,4,0,0,0.0,0.0,1,2,1.67,0.364,NYY
